旅拍	成人汉服/古风套装	女款：交领襦裙/齐胸襦裙，上衣选用浅靛蓝印花布（纹样：小团花、缠枝纹），下裙为纯色深靛蓝或渐变蓝，搭配同纹样披帛；男款：直裾/圆领袍，主体为藏青蓝印花布（纹样：云纹、回纹），袖口、领口做白色纹样镶边，简洁大气。
旅拍	亲子旅拍套装	成人款与儿童款纹样、色调统一，成人款为简约款，儿童款增加可爱元素（如裙摆花边、帽子配饰）。例如：亲子蓝印花布汉服套装、亲子蓝白印花衬衫套装。
旅拍	配饰类服饰单品	蓝印花布披肩（轻薄款，适配春秋旅拍）、斗篷（厚款，适配秋冬旅拍，纹样为大朵花或云纹）、马甲（短款，可内搭纯色衣物，增加层次感）。
旅拍	户外旅拍功能性服饰：	防水透气的蓝印花布冲锋衣（表面印简约几何纹样，内胆可拆卸）、速干印花布短袖（纹样为清新水波纹，适配夏季户外旅拍）、印花布工装裤（侧边口袋贴印花布贴片，兼具实用性与装饰性），满足不同季节、不同户外场景的旅拍需求。
旅拍	头部配饰	古风款：蓝印花布发带（纹样：回纹、缠枝纹）、发簪（簪头镶嵌蓝印花布纹样贴片）、斗笠（帽檐边缘包裹蓝印花布，帽身印简约纹样）；日常款：蓝印花布棒球帽、渔夫帽（帽身印小碎花或几何纹样）、遮阳帽（宽檐设计，帽檐内侧贴蓝印花布贴片，外侧纯色，兼顾实用与美观）。
旅拍	手部配饰	蓝印花布手链（布艺编织，搭配木质或银色小配饰）、手包（小巧便携，纹样为精致小团花，可放置手机、口红等随身物品）、手套（春秋款，薄棉材质，印简约蓝白纹样）。
旅拍	拍摄道具配饰	蓝印花布油纸伞（伞面印大朵缠枝莲、牡丹纹，适配古风旅拍）、团扇（扇面为蓝印花布，纹样精美，可用于摆拍互动）、手提篮（蓝印花布包裹藤编篮，用于田园风旅拍，可放置鲜花、水果等道具）。
旅拍	旅拍场景氛围帐篷	小型便携帐篷，帐篷外帐采用蓝印花布材质，纹样为清新云纹或水波纹，内帐为纯色透气棉布，适配户外露营、田园、古镇等旅拍场景，既是拍摄道具也是休息场所。
旅拍	便携收纳类：	蓝印花布收纳袋（可折叠，用于收纳衣物、拍摄道具）、化妆包（分层设计，印小碎花纹样）、证件卡包（简约款，印回纹，方便存放身份证、门票）。
旅拍	纪念周边类	拍摄纪念册：封面为蓝印花布材质，印“旅拍纪念”字样与祥云纹，内页可定制照片插页；纹样明信片：一套10张，每张印不同蓝印花布经典纹样，背面可书写寄语，适配旅拍邮寄纪念；冰箱贴/钥匙扣：主体为木质或金属材质，表面贴蓝印花布纹样贴片，小巧精致，方便携带。
旅拍	场景氛围道具	蓝印花布野餐垫（防水材质，大尺寸，纹样为清新小碎花或几何纹，适配户外旅拍野餐场景）、帐篷装饰布（用于户外露营旅拍，悬挂于帐篷内侧或外侧，增加氛围感）。
旅拍	旅拍专属记录套装	包含蓝印花布封面笔记本（内页印浅淡纹样）、印花布笔套（包裹木质笔杆）、纹样贴纸（多种蓝印花布纹样可选，用于装饰笔记本或照片），方便旅拍过程中记录心情、粘贴门票等纪念物。
